"serum","dilution","date","pct_sars2","pct_sars1","norm_sars2","norm_sars1"
"King_6",21.5443469,"200924",2.015952,0.590341,0.0955849919454925,0.255381876024452
"King_9",21.5443469,"200924",0.662739,0.415836,0.032440537624624,0.179260594664291
"King_10",21.5443469,"200924",1.176071,0.559765,0.0557626059858208,0.242154679808496
"King_11",21.5443469,"200924",1.087592,0.415156,0.0532367480957663,0.1789674569745
"King_12",21.5443469,"200924",0.994098,0.944393,0.0471344800486471,0.408544986786214
"King_2",46.41588834,"200924",4.378255,0.558811,0.214312038461141,0.24089494936693
"King_3",46.41588834,"200924",3.46079,0.483879,0.164091002303151,0.209326350005905
"King_4",46.41588834,"200924",4.264594,0.729719,0.208748424509114,0.31457079684739
"King_5",46.41588834,"200924",0.944717,0.379053,0.0447931135442559,0.163978558583423
"King_6",46.41588834,"200924",4.361371,0.519211,0.213485580327164,0.223823989785014
"King_7",46.41588834,"200924",2.904946,1.075565,0.137736037371967,0.46529007384925
"King_9",46.41588834,"200924",1.097046,0.495781,0.0536995137436356,0.21372367203238
"King_10",46.41588834,"200924",3.025126,0.747384,0.143434290272834,0.323318773438842
"King_11",46.41588834,"200924",3.02324,0.630699,0.147985150969338,0.27188477619584
"King_12",46.41588834,"200924",2.978086,1.170631,0.141203920690068,0.506415683329433
"King_2",100,"200924",8.663091,0.734406,0.424051292486245,0.316591291482755
"King_3",100,"200924",6.657054,0.745013,0.315639684362876,0.322293077395277
"King_4",100,"200924",6.796984,0.947609,0.332706865275723,0.408499872183346
"King_5",100,"200924",4.015627,0.685282,0.190398221014738,0.29645341042853
"King_6",100,"200924",6.030582,0.807514,0.295192107706624,0.348107041813936
"King_7",100,"200924",5.277502,1.176908,0.250229165259054,0.509131117351135
"King_9",100,"200924",2.1673,0.460499,0.106087580772895,0.198514136780633
"King_10",100,"200924",3.632016,0.71738,0.172209566550146,0.310339024771143
"King_11",100,"200924",4.519151,1.008542,0.221208783618977,0.434767164612763
"King_12",100,"200924",7.755102,1.731602,0.367702882909153,0.749092079472193
"King_2",215.443469,"200924",11.290037,0.873002,0.552638172918596,0.376337925680112
"King_3",215.443469,"200924",10.466067,0.976384,0.496241443197053,0.422384312863682
"King_4",215.443469,"200924",10.704987,1.226717,0.524000448961976,0.528819099127527
"King_5",215.443469,"200924",6.185224,0.760673,0.293268186058531,0.329067602929744
"King_6",215.443469,"200924",9.635456,1.164725,0.471647772197516,0.502095287854745
"King_7",215.443469,"200924",9.077224,1.595665,0.430390397652043,0.690285650508024
"King_9",215.443469,"200924",4.585817,0.9792,0.224472030359071,0.422118273298303
"King_10",215.443469,"200924",3.467422,1.042493,0.164405454069156,0.450983106513624
"King_11",215.443469,"200924",7.385411,1.306596,0.361509890648977,0.563253724896313
"King_12",215.443469,"200924",13.051439,2.249346,0.618825096873381,0.973068449096535
"King_2",464.1588834,"200924",15.014594,1.231757,0.734952223387267,0.53099176671068
"King_3",464.1588834,"200924",12.794481,1.183532,0.606641608198884,0.511996663784105
"King_4",464.1588834,"200924",12.77081,1.469657,0.625120812721033,0.633546849653559
"King_5",464.1588834,"200924",11.017906,1.123837,0.522406513779194,0.486172570439276
"King_6",464.1588834,"200924",14.174981,1.3606,0.693853846625641,0.586534030483733
"King_7",464.1588834,"200924",12.366052,1.857408,0.586327938769148,0.803515831668181
"King_9",464.1588834,"200924",7.902907,1.460627,0.386840900984256,0.629654153567076
"King_10",464.1588834,"200924",8.056997,1.15569,0.382017028852799,0.499952197632723
"King_11",464.1588834,"200924",11.851758,1.385024,0.580133961207864,0.597062846565267
"King_12",464.1588834,"200924",16.567383,2.348269,0.785531188546597,1.01586259912502
"King_2",1000,"200924",18.122456,1.653664,0.887079552762993,0.712869477426027
"King_3",1000,"200924",19.632798,1.58043,0.930875754332187,0.683694980232315
"King_4",1000,"200924",19.777805,2.167013,0.968107546462449,0.934166447891111
"King_5",1000,"200924",14.098198,1.518377,0.668456462393925,0.656850814651837
"King_6",1000,"200924",18.105299,1.683426,0.886239731499984,0.725699424372416
"King_7",1000,"200924",15.04769,2.046145,0.713475979313132,0.885163572779212
"King_9",1000,"200924",12.417693,1.789293,0.607836021386293,0.771337082909254
"King_10",1000,"200924",13.768389,1.86722,0.652818793139622,0.80776050884214
"King_11",1000,"200924",16.844949,1.830613,0.824546619135697,0.789149508412405
"King_12",1000,"200924",16.786166,2.247394,0.795904635579468,0.972224012708075
"none",0,"200924",21.090675,2.311601,1.0323714703167,0.996496142437328
"none",0,"200924",20.429347,2.319729,0.968643583005285,1.00351617774867
"King_2",2154.43469,"200924",19.405405,1.855856,0.949878867885498,0.800031382976201
"King_3",2154.43469,"200924",19.40333,2.006244,0.919995685296938,0.867902375885804
"King_4",2154.43469,"200924",19.371578,2.355155,0.948223063615298,1.01527161146841
"King_5",2154.43469,"200924",18.742633,2.380017,0.888669186737741,1.02959680325454
"King_6",2154.43469,"200924",23.191357,2.93003,1.13519815391065,1.2630915076718
"King_7",2154.43469,"200924",17.778057,2.340211,0.842934472225284,1.01237670341897
"King_9",2154.43469,"200924",15.888509,2.304647,0.777729655284626,0.993498378474382
"King_10",2154.43469,"200924",18.526466,2.346209,0.878419775564319,1.01497144187081
"King_11",2154.43469,"200924",18.822357,2.323085,0.921339140208446,1.00144672071608
"King_12",2154.43469,"200924",18.166925,2.430145,0.861372383766759,1.05128220657458
"King_2",10,"200930",0.531788,0.385674,0.0810704467466586,0.12129116338867
"King_3",10,"200930",0.392635,0.512756,0.0454434239296748,0.139380562245503
"King_4",10,"200930",0.677678,0.526664,0.103311203356191,0.165631308501301
"King_5",10,"200930",0.385404,0.450222,0.0446065107700342,0.122382176893678
"King_6",10,"200930",0.628728,0.348349,0.0958488342010973,0.109552771188309
"King_7",10,"200930",0.436408,0.697884,0.0505096941187146,0.189703220054257
"King_9",10,"200930",0.386832,0.335127,0.0589720773238648,0.105394565651184
"King_10",10,"200930",0.552261,0.438225,0.0639184757925965,0.119121076867039
"King_11",10,"200930",0.501908,0.342423,0.076515276361486,0.107689095041508
"King_12",10,"200930",0.544912,0.657977,0.0630679053583275,0.178855448214373
"King_2",21.5443469,"200930",1.347496,0.595674,0.205424159080941,0.18733436130095
"King_3",21.5443469,"200930",0.755463,0.536941,0.0874369971403056,0.145954681120577
"King_4",21.5443469,"200930",0.946991,0.526351,0.144367649204316,0.165532872687269
"King_5",21.5443469,"200930",0.454651,0.388591,0.0526211319241804,0.105629250683643
"King_6",21.5443469,"200930",0.939846,0.458094,0.143278402470646,0.144066631925848
"King_9",21.5443469,"200930",0.706657,1.00029,0.081788209466482,0.271905121750996
"King_10",21.5443469,"200930",0.557317,0.629605,0.0849623123679126,0.198005369626482
"King_11",21.5443469,"200930",0.750814,0.681079,0.0868989236678717,0.185135179215074
"King_12",21.5443469,"200930",0.596791,0.576369,0.0909800766177219,0.1812631044643
"King_2",46.41588834,"200930",2.610018,1.182223,0.302082479753669,0.321359294556407
"King_3",46.41588834,"200930",1.391778,0.671956,0.212174897199957,0.211324395696877
"King_4",46.41588834,"200930",1.483775,0.718355,0.171731547980321,0.195267776080374
"King_5",46.41588834,"200930",1.457609,0.682001,0.222210754684104,0.214483461997014
"King_6",46.41588834,"200930",0.786484,0.612588,0.0910273557525598,0.166517524641053
"King_7",46.41588834,"200930",1.038786,0.672288,0.158361687541228,0.211428806847862
"King_9",46.41588834,"200930",0.888011,1.23757,0.102778051694868,0.33640406434672
"King_10",46.41588834,"200930",0.791135,0.512332,0.120607587773545,0.161124017489497
"King_11",46.41588834,"200930",1.016145,0.876888,0.117608231586637,0.238361213650029
"King_12",46.41588834,"200930",1.100201,0.784672,0.167724331088931,0.246772610439165
"King_2",100,"200930",4.147298,1.547585,0.480006675861022,0.420674292300248
"King_3",100,"200930",1.991391,0.875141,0.303585184354057,0.275224334591194
"King_4",100,"200930",1.836762,0.993409,0.21258612763487,0.270034685034875
"King_5",100,"200930",1.588638,0.971314,0.242185969556888,0.305469917795088
"King_6",100,"200930",1.334554,0.785032,0.154460766816619,0.213392337760478
"King_7",100,"200930",1.98257,0.983024,0.302240433418059,0.309152612307244
"King_9",100,"200930",1.523322,1.480024,0.176308702554281,0.402309436177905
"King_10",100,"200930",1.165516,0.920695,0.177681524988113,0.289550676675461
