"serum","dilution","sars2_geomean","sars2_upper_ci","sars2_lower_ci","sars1_geomean","sars1_upper_ci","sars1_lower_c1"
"King_2",10,0.0795384434880632,0.181111714869601,0.0349307276840637,0.139632937519615,0.219771687689744,0.0887164195047795
"King_2",21.5443469,0.154867249020618,0.257196559458628,0.0932511106279864,0.224786492610563,0.330341979458556,0.152959570391198
"King_2",46.41588834,0.29699955757237,0.449891580500246,0.196066654770694,0.305341240300981,0.435998880140574,0.213838331416084
"King_2",100,0.47534008172492,0.655506762154967,0.344692391198914,0.373186269627595,0.464546211442449,0.29979362312766
"King_2",215.443469,0.582500024180814,0.657471200508403,0.516077780910058,0.433568086683085,0.594588925605072,0.316153358555636
"King_2",464.1588834,0.70105652428155,0.904593738196517,0.543315998646628,0.528282470398378,0.695641387521713,0.401187125344093
"King_2",1000,0.816179709037378,0.96574002438653,0.689781204695849,0.707311560174271,0.85854034316073,0.5827211815281
"King_2",2154.43469,0.838999756305402,0.980084615813669,0.718224304027186,0.804076863350278,0.831781111559797,0.777295364357095
"King_3",10,0.0676467100775254,0.147042686667794,0.0311207411127577,0.148752497034517,0.254823704397768,0.0868337795586883
"King_3",21.5443469,0.11030283005056,0.170167238480999,0.0714985706165833,0.240293545621661,0.412039499344155,0.140134594278791
"King_3",46.41588834,0.229360169627588,0.312700886475851,0.168231334437419,0.26330980788986,0.357437439541586,0.193969761589366
"King_3",100,0.380448535381179,0.507711268610082,0.285085435408849,0.304497143248424,0.381664426081343,0.242932020671715
"King_3",215.443469,0.595547227772969,0.774342606482096,0.458035626012359,0.489938548381318,0.620663423449261,0.38674710337529
"King_3",464.1588834,0.763544219295956,0.996115436168623,0.58527330633754,0.546968159502777,0.667766686447893,0.448022001668393
"King_3",1000,0.888622198089654,1.06860029286576,0.73895676073606,0.662153650003873,0.781213698541451,0.561238822401663
"King_3",2154.43469,0.938973492914687,0.982940456631965,0.896973173143615,0.714297644913286,0.837732923521638,0.609049866852329
"King_4",10,0.10804815381839,0.227134178201893,0.0513987090625587,0.182228202742281,0.333348522448586,0.0996168143502225
"King_4",21.5443469,0.186516048042716,0.312803319222301,0.111214408670484,0.271403242975439,0.410453482942081,0.179459362287783
"King_4",46.41588834,0.265206554473889,0.421375001283555,0.166916680680309,0.334233424020983,0.491590159361619,0.227246171643997
"King_4",100,0.355376263071719,0.531514728014384,0.237608257491977,0.376111447281197,0.491495456330168,0.287815113962985
"King_4",215.443469,0.517566901290758,0.705810547551416,0.379528895170277,0.539782519025997,0.785456414513929,0.370950141169016
"King_4",464.1588834,0.600940020549798,0.856087306903724,0.421836540953415,0.651837617508687,0.957899563674581,0.443566628185402
